渊	淵	MJ015528
渕	淵	MJ015534
湶	泉	MJ015652
溪	渓	MJ015703
滯	滞	MJ015778
滿	満	MJ015796
潛	潜	MJ015907
潴	瀦	MJ015944
澀	渋	MJ015963
澁	渋	MJ015965
澂	澄	MJ015967
澑	溜	MJ015983
澤	沢	MJ016002
濕	湿	MJ016061
濟	済	MJ016074
濱	浜	MJ016102
濳	潜	MJ016104
瀧	滝	MJ016178
灣	湾	MJ016251
烟	煙	MJ016379
焔	焰	MJ016423
煕	熙	MJ016491
熈	熙	MJ016545
燈	灯	MJ016622
燒	焼	MJ016634
營	営	MJ016645
爐	炉	MJ016701
爭	争	MJ016736
爲	為	MJ016743
牋	箋	MJ016782
犧	犠	MJ016879
犹	猶	MJ016900
狹	狭	MJ016960
獎	奨	MJ017051
獨	独	MJ017081
獵	猟	MJ017095
獸	獣	MJ017098
獻	献	MJ017102
玉	王	MJ017121
珎	珍	MJ017194
瑤	瑶	MJ017367
璢	瑠	MJ017445
瓣	弁	MJ017536
甞	嘗	MJ017617
產	産	MJ017621
甼	町	MJ017649
畄	留	MJ017659
畆	畝	MJ017660
畊	耕	MJ017665
畍	界	MJ017668
畧	略	MJ017698
畫	画	MJ017701
畵	画	MJ017712
當	当	MJ017713
疂	畳	MJ017725
疉	畳	MJ017733
疊	畳	MJ017734
瘦	痩	MJ017888
癡	痴	MJ017951
發	発	MJ017982
皀	香	MJ017987
皃	貌	MJ017992
皈	帰	MJ017998
皷	鼓	MJ018058
盃	杯	MJ018069
盖	蓋	MJ018089
盜	盗	MJ018095
盡	尽	MJ018101
眞	真	MJ018170
着	著	MJ018212
瞹	曖	MJ018347
砿	鉱	MJ018479
硏	研	MJ018496
碎	砕	MJ018558
碚	培	MJ018570
碪	砧	MJ018586
礙	碍	MJ018703
礦	鉱	MJ018717
祕	秘	MJ018792
祿	禄	MJ018868
禀	稟	MJ018869
禪	禅	MJ018954
禮	礼	MJ018965
稅	税	MJ019067
稱	称	MJ019118
稻	稲	MJ019130
𥡴	稽	MJ019136
稾	稿	MJ019137
穉	稚	MJ019151
穐	秋	MJ019161
穗	穂	MJ019167
穩	穏	MJ019191
窗	窓	MJ019245
窰	窯	MJ019274
竊	窃	MJ019309
竒	奇	MJ019317
竝	並	MJ019328
竸	競	MJ019365
笵	範	MJ019429
笶	矢	MJ019431
筱	篠	MJ019489
箪	簞	MJ019552
粮	糧	MJ019857
粹	粋	MJ019870
糢	模	MJ019923
糺	糾	MJ019948
絋	紘	MJ020059
絕	絶	MJ020072
絲	糸	MJ020109
經	経	MJ020150
綫	線	MJ020185
緜	綿	MJ020245
縣	県	MJ020333
縱	縦	MJ020353
縲	累	MJ020354
總	総	MJ020371
繋	繫	MJ020392
繍	繡	MJ020393
繩	縄	MJ020426
繪	絵	MJ020427
繼	継	MJ020451
續	続	MJ020472
纎	繊	MJ020474
纒	纏	MJ020478
纖	繊	MJ020484
缺	欠	MJ020502
罐	缶	MJ020526
罸	罰	MJ020570
羣	群	MJ020622
翆	翠	MJ020667
耒	来	MJ020769
耻	恥	MJ020823
聟	婿	MJ020856
聨	聯	MJ020866
聰	聡	MJ020872
聲	声	MJ020877
聽	聴	MJ020896
肅	粛	MJ020905
脉	脈	MJ021045
脣	唇	MJ021065
脫	脱	MJ021075
腦	脳	MJ021141
膓	腸	MJ021194
膽	胆	MJ021243
臙	咽	MJ021276
臟	臓	MJ021283
臺	台	MJ021314
與	与	MJ021336
舉	挙	MJ021339
舊	旧	MJ021341
舍	舎	MJ021345
舘	館	MJ030310
舖	舗	MJ021360
舛	升	MJ021368
舩	船	MJ021384
艷	艶	MJ021479
苅	刈	MJ021628
莊	荘	MJ021972
莖	茎	MJ021994
莱	萊	MJ022044
莵	菟	MJ068065
萓	萱	MJ022227
萠	萌	MJ022241
萬	万	MJ022256
葢	蓋	MJ022355
蒋	蔣	MJ022433
蕋	蕊	MJ022775
蕰	温	MJ022855
薗	園	MJ022933
薰	薫	MJ022987
藁	稿	MJ023019
藏	蔵	MJ023046
藝	芸	MJ023069
藥	薬	MJ023087
蘂	蕊	MJ023141
蘆	芦	MJ023148
𧁨	蘇	MJ023176
蘯	蕩	MJ023227
處	処	MJ023287
號	号	MJ023299
蝉	蟬	MJ023551
蝋	蠟	MJ023552
螢	蛍	MJ023654
蟲	虫	MJ023742
蠏	蟹	MJ023784
蠶	蚕	MJ023833
蠻	蛮	MJ023840
衞	衛	MJ023883
𢖍	衡	MJ023887
袮	祢	MJ023966
裝	装	MJ024011
襃	褒	MJ024126
襍	雑	MJ024138
覺	覚	MJ024272
覽	覧	MJ024275
觀	観	MJ024279
觧	解	MJ024307
觸	触	MJ024324
誥	詰	MJ024527
說	説	MJ024533
謌	歌	MJ024667
謠	謡	MJ024700
證	証	MJ024755
譯	訳	MJ024809
譱	善	MJ024811
譽	誉	MJ024826
讀	読	MJ024829
變	変	MJ024841
讓	譲	MJ024852
讚	讃	MJ024860
谿	渓	MJ024878
豎	竪	MJ024898
豐	豊	MJ024900
豫	予	MJ024939
豬	猪	MJ024941
貍	狸	MJ024976
貭	質	MJ025017
貮	弐	MJ025018
貳	弐	MJ025023
賣	売	MJ025077
贊	賛	MJ025125
赱	走	MJ025170
踈	疎	MJ025330
踐	践	MJ025337
踴	踊	MJ025369
躰	体	MJ025512
軆	体	MJ025540
軣	轟	MJ025572
輕	軽	MJ025626
轉	転	MJ025689
辧	弁	MJ025738
辨	弁	MJ025739
辭	辞	MJ025742
辯	弁	MJ025745
迯	逃	MJ025849
迴	回	MJ025857
迹	跡	MJ025866
逑	述	MJ025914
逕	径	MJ025922
逹	達	MJ026001
遞	逓	MJ026083
遲	遅	MJ026127
邉	辺	MJ026190
邊	辺	MJ026200
邨	村	MJ026250
鄕	郷	MJ026369
鄰	隣	MJ026403
醉	酔	MJ026505
醋	酢	MJ026507
醤	醬	MJ026535
醫	医	MJ026548
釀	醸	MJ026575
釋	釈	MJ026590
釖	刀	MJ026601
釡	釜	MJ026614
釼	剣	MJ026648
鈩	炉	MJ026701
鈬	鐸	MJ026704
銕	鉄	MJ026824
銳	鋭	MJ026853
鋪	舗	MJ026919
